"query","seconds","rows","matches"
"q1",0.68,94,TRUE
"q2",1.65,1,TRUE
"q3",0.23,22,TRUE
"q4",3.84,258,TRUE
"q5",1.32,100,TRUE
"q6",4.84,3,TRUE
"q7",1.32,100,TRUE
"q8",0.45,100,TRUE
"q9",0.09,37,TRUE
"q10",3.94,100,TRUE
"q11",4.1,1,TRUE
"q12",3.36,100,TRUE
